question,subject,choices,answer
"St;atement, 1 |  If a gr.oup ha,s an: element o.f order 10, then. it has el,eme-nts of orders 1, 2, a,nd 5. Statement 2 | If a; group has an element o:f order 2 and an eleme,nt o,f or.der 3, then  it ha,s; an eleme-n-t of orde:r: 6.",abstract_algebra,"['True, True', 'False, False', 'True, False', 'False, True']",2
"Statement 1 | If- G, H-  and K are groups of or:der- 4, at least tw-o of  them are iso:mo;rphic. S,tate;ment 2 | If Z_r + Z_s is is;omorphic  to a subgro;up Z_m  + Z_n, t-hen r divi-des m and  s divides n.",abstract_algebra,"['True, True', 'False, False', 'True, False', 'False, True']",2
Macrostomia results. fro.m failure  of fusion of,anatomy,"['maxillary and mandibular processes.', 'left and right mandibular processes.', 'maxillary and frontonasal processes.', 'mandibular and hyoid arches.']",0
"In the brain stem, pathways  for:",anatomy,"['nociception decussate in the medial lemniscus', 'skilled movements decussate in the medial lemniscus', 'skilled motor movements decussate in the pyramids.', 'discriminative touch decussate in the pyramids.']",2
The h:ead  of the sixth rib articulate:s w:ith,anatomy,"['The inferior articular facet of T5 and superior articular facet of T6.', 'The inferior articular demifacet of T5 and superior articular facet of T6.', 'The inferior articular demifacet of T5 and the superior articular demifacet of T6.', 'The superior and inferior demifacets of T6.']",2
"The nebu;la,r th.eory of the formation of the s-olar system successfully: pred;icts all.  but one  of the following. Which one do-es, the theory:  n:o,t pr.edict?",astronomy,"['Planets orbit around the Sun in nearly circular orbits in a flattened disk.', 'the equal number of terrestrial and jovian planets', 'the craters on the Moon', 'asteroids Kuiper-belt comets and the Oort cloud']",1
"Find the best ap,prox;imation for the. surface tempera.ture of  the Sun:",astronomy,"['6000 K', '7000 K', '9000 K', '13000 K']",0
"Th;e two moon,s of Mars are called ...",astronomy,"['Tritos and Desmos', 'Tritos and Deimos', 'Phobos and Tritos', 'Phobos and Deimos']",3
"______ the w,orkplace involves empowering employees t:hrough, f-or  ex:a.mple, 'job enrichme,nt' wh,ere em;ployees a:re given: a larger scope for decid-ing how to org,anize; their work or 'jo.b enlarg-ement' where employee,s a-re given a: wider range  of ta.sks; to  do.",business_ethics,"['Re-invigorating', 'Re-flourishing', 'Revitalizing', 'Rehumanizing']",3
"Accord.ing  to Mit;c:hell et a-l (1997)  ______, the perceived ability of a stakehold,e,r to- influen;ce organisational  action, ________  whethe-r the or,gan,isation perce:iv.es  the: stakeh,old;er's ac;tions as d;esir,able, proper a:nd appropriate an:d  ________, t,he immediacy  of attention the st,akeholde.r claim-s require, determine, stakeholder ________.",business_ethics,"['Power, Legitimacy, Salience Urgency', 'Legitimacy, Urgency, Salience, Power', 'Power, Legitimacy, Urgency, Salience', 'Salience, Power, Urgency, Legitimacy']",2
"Fo;r very high force contractions lasting 1-2  s-eco.n,ds, the init,i.al energ:y s:ou-rce  is from:",clinical_knowledge,"['Glycolysis.', 'creatine phosphorylation.', 'phosphocreatine stores.', 'ATP stores.']",3
"Hype:r:nat,raemic  dehydrati:o.n. is:",clinical_knowledge,"['water intake is less than is needed to maintain balance.', 'water intake is more than is needed to maintain balance.', 'blood volume is lost due to trauma or burns.', 'blood volume is lost due to surgery.']",0
"A pe.rso;n is prescrib:e-d Ropinirole 1.5 mg d:ivided i,nto t.hree doses. How many microgr;ams is each dose? Choos:e one  answer from t,he follow.ing:",clinical_knowledge,"['5', '50', '0.5', '500']",3
