question,subject,choices,answer
"Q: Statement 1 | Should a group possess an element of order 10, it must also contain elements of orders 1, 2, and 5. Statement 2 | Given a group with an element of order 2 and another of order 3, it implies the presence of an element of order 6.",abstract_algebra,"['True, True', 'False, False', 'True, False', 'False, True']",2
"Q: Statement 1 | Given three groups G, H, and K each with an order of 4, there are at least two among them that are isomorphic. Statement 2 | If the sum of Z_r and Z_s is isomorphic to a subgroup made up of the sum of Z_m and Z_n, then r is a divisor of m and s is a divisor of n.",abstract_algebra,"['True, True', 'False, False', 'True, False', 'False, True']",2
Macrostomia occurs due to a failure in the fusion of what?,anatomy,"['maxillary and mandibular processes.', 'left and right mandibular processes.', 'maxillary and frontonasal processes.', 'mandibular and hyoid arches.']",0
What are the pathways located in the brain stem for:,anatomy,"['nociception decussate in the medial lemniscus', 'skilled movements decussate in the medial lemniscus', 'skilled motor movements decussate in the pyramids.', 'discriminative touch decussate in the pyramids.']",2
Which part does the head of the sixth rib connect with?,anatomy,"['The inferior articular facet of T5 and superior articular facet of T6.', 'The inferior articular demifacet of T5 and superior articular facet of T6.', 'The inferior articular demifacet of T5 and the superior articular demifacet of T6.', 'The superior and inferior demifacets of T6.']",2
Which of the following is not successfully predicted by the nebular theory pertaining to the formation of the solar system?,astronomy,"['Planets orbit around the Sun in nearly circular orbits in a flattened disk.', 'the equal number of terrestrial and jovian planets', 'the craters on the Moon', 'asteroids Kuiper-belt comets and the Oort cloud']",1
Q: What is the most accurate estimate for the temperature of the Sun's surface?,astronomy,"['6000 K', '7000 K', '9000 K', '13000 K']",0
What are the names of the two moons of Mars?,astronomy,"['Tritos and Desmos', 'Tritos and Deimos', 'Phobos and Tritos', 'Phobos and Deimos']",3
"Q: ______ the workplace refers to enabling employees by means such as 'job enrichment', where employees have more autonomy in managing their work, or 'job enlargement', where employees are assigned a broader variety of tasks.",business_ethics,"['Re-invigorating', 'Re-flourishing', 'Revitalizing', 'Rehumanizing']",3
"Q: As per the findings of Mitchell and his team in 1997, the extent to which a stakeholder is believed to have influence over organisational actions, how the organisation views the stakeholder's actions in terms of desirability, propriety and suitability, as well as the urgency of the stakeholder's demands, all shape stakeholder __________.",business_ethics,"['Power, Legitimacy, Salience Urgency', 'Legitimacy, Urgency, Salience, Power', 'Power, Legitimacy, Urgency, Salience', 'Salience, Power, Urgency, Legitimacy']",2
"Q: When extremely powerful contractions occur over a duration of 1-2 seconds, what is the initial source of energy?",clinical_knowledge,"['Glycolysis.', 'creatine phosphorylation.', 'phosphocreatine stores.', 'ATP stores.']",3
What is the definition of hypernatraemic dehydration?,clinical_knowledge,"['water intake is less than is needed to maintain balance.', 'water intake is more than is needed to maintain balance.', 'blood volume is lost due to trauma or burns.', 'blood volume is lost due to surgery.']",0
"If a person is prescribed Ropinirole 1.5 mg and it is divided into three doses, how many micrograms would be in each dose? Please select one of the following options:",clinical_knowledge,"['5', '50', '0.5', '500']",3
Which of the listed processes does not contribute to the alteration of protein structure following the completion of translation?,clinical_knowledge,"['Lipidation.', 'Attachment of more amino acids via peptide bonds.', 'Glycosylation.', 'Phosphorylation.']",1
Q: The manner in which fatty acids are carried into the mitochondria involves them being bound to:,clinical_knowledge,"['thiokinase.', 'coenzyme A (CoA).', 'acetyl-CoA.', 'carnitine.']",3
Q: What is the most accurate reason for the tendency of net primary productivity in land-based ecosystems to rise as it gets closer to the tropical regions?,college_biology,"['The higher species diversity in the tropics tends to increase plant growth.', 'There are lower metabolic costs to plant growth in the tropics.', 'The availability of water and warm temperatures in the tropics fosters photosynthesis.', 'The tropics have more predators that minimize herbivory.']",2
Which among the following biomes has soil with the greatest rate of nutrient leaching and cycling?,college_biology,"['Tropical rain forest', 'Tundra', 'Taiga', 'Desert']",0
The secretion of which substance allows humans to maintain adequate levels of calcium in the serum?,college_biology,"['thyroxine', 'glucagon', 'growth hormone', 'parathyroid hormone']",3
"What is the most accurate description of the molecular geometry of thionyl chloride, SOCl2?",college_chemistry,"['trigonal planar', 'T-shaped', 'tetrahedral', 'trigonal pyramidal']",3
Which of the following elements does NOT include partially filled 4f or 5f orbitals?,college_chemistry,"['Cu', 'Gd', 'Eu', 'Am']",0
"Which of the following job-scheduling policies ensures that every job will be serviced without an indefinite waiting period, as per the definition of a starvation-free job-scheduling policy?",college_computer_science,"['Round-robin', 'Priority queuing', 'Shortest job first', 'Youngest job first']",0
Which sorting algorithm listed below has both average and worst-case execution times of O(n log n)?,college_computer_science,"['Bubble sort', 'Insertion sort', 'Merge sort', 'Quicksort']",2
"In the event that the finite group G includes a subgroup of order seven, and no element (excluding the identity) serves as its own inverse, what could the order of G possibly be?",college_mathematics,"['27', '28', '35', '37']",2
What is the size of the area of an equilateral triangle if the radius of the circle inscribed in it is 2?,college_mathematics,"['12', '16', '12*sqrt(3)', '16*sqrt(3)']",2
"Based on the article, which of the following is NOT listed as an advantage of using a sauna?",college_medicine,"['Decreased risk of heart attacks.', 'Increase in stroke volume.', 'Improved mental health.', 'Decreased rate of erectile dysfunction.']",3
"What type of tissue secretes the hormone B-hCG, or human chorionic gonadotropin, which is detected by highly sensitive pregnancy tests in urine, and what is the purpose of this hormone?",college_medicine,"['Corpus luteum, self-maintenance', 'Endometrium, cell division', 'Blastocyst, increase in blood flow', 'Blastocyst, corpus luteum maintenance']",3
"According to Freud's psychosexual development theory, if a young man who is working with a therapist to improve his productivity often discusses his childhood desires and their impact on him, and the therapist concludes that the young man's development appears to be halted at a stage evident by his inability to maintain a clean home, which stage would this young man be fixated in?",college_medicine,"['Anal', 'Phallic', 'Latent', 'Genital']",1
